Speech;Timestamp
Dakle, sljedeća stvar koju treba dokazati, koju ćemo nekako nastaviti na ovu priču o Robinsonu,;0:00:00 - 0:00:10.440000
dakle, Craigova interpovacijska lema.;0:00:10.440000 - 0:00:14.680000
Da, da, da, ok, ok, samo kažem, neću sigurno gasti palic svijetla svako malo, pa gledam je li ovako ok za projektor, pitam.;0:00:30 - 0:00:37.400000
Ma...;0:00:39.400000 - 0:00:39.900000
Ok, dobro, da, mislim da je za ploču bolje, više bolje da je svijetlo nego što je za projektor bolje da je tamo, ali, dobro.;0:00:42.600000 - 0:00:51.800000
Dakle,;0:00:53 - 0:00:53.600000
da, Craigova interpovacijska lema kaže, više manje ako imaš dvije formule,;0:00:53.600000 - 0:01:06
takve da je jedna logička posljedica druge, onda možeš naći treću koju možeš staviti između njih,;0:01:06 - 0:01:11.200000
naravno, to je prilično jednostavno ako bi to bio jedini uvjet, ali ono što je zanimljivo je da zapravo ta između,;0:01:11.200000 - 0:01:19.600000
dakle onda se ona zove interpolant, sadrži samo nelogičke simbole koji su zajednički i f-u i g-u.;0:01:19.600000 - 0:01:26.800000
Dakle, f govori nešto o nekakvoj funkciji ili nekakvim konstantama ili nekakvim relacijama,;0:01:26.800000 - 0:01:34.600000
a g govori nešto o nekakvim drugim funkcijama, nekakvim drugim relacijama, nekakvim drugim konstantama;0:01:35 - 0:01:40.200000
i jedino zajedničko o čemu f i g uopće pričaju je, recimo, nekakva konstanta a i nekakav funkcijski simbol h.;0:01:40.200000 - 0:01:48.200000
E onda kaže, možeš naći interpolant, dakle koji je takav da jest logička postjedica od f;0:01:48.600000 - 0:01:54.600000
i g jest logička postjedica od njega koji priča samo o tome, znači koji je nad signaturom,;0:01:54.600000 - 0:01:59.600000
koja sadrži samo one nelogičke simbole koji su zajednički,;0:01:59.600000 - 0:02:04.800000
opet do na, naravno, ovu priču o normalnosti, dakle jednakost mora biti unutra,;0:02:05.400000 - 0:02:11
jer, naprimjer, ako f i g nemaju ništa zajedničko u presjeku,;0:02:11 - 0:02:15.600000
onda se vjedno moram nekako moći napisati nekakvu formulu, jel?;0:02:15.800000 - 0:02:21.200000
Dakle, mislim da čak ovdje nije uopće bitno da se ta jednakost interpretira kao;0:02:21.400000 - 0:02:26.600000
kao stvarno nekakva, kao jednakost u modelu, nego je sve što je bitno je da, ono, kao;0:02:30.200000 - 0:02:36.600000
ono što obično radimo u logici prvog reda, dakle, podrazumijevamo da imamo jedan binarni relacijski simbol;0:02:37 - 0:02:42.400000
koji je rezerviran za jednakost, samo kažem ovdje ga i sintaksno pišemo kao jednakost.;0:02:42.600000 - 0:02:47
